year,sport,division,round,team1,team1_seed,team2,team2_seed,score,location,neutral_site,distance_miles,tier
2025,baseball,2A/1A,First Round,Lost River,16,Oakridge,17,,Lost River HS,False,126.5,yellow
2025,baseball,2A/1A,First Round,Lowell,12,Gaston,21,,Lowell HS,False,107.3,green
2025,baseball,2A/1A,First Round,Country Christian,13,Grant Union,20,,Country Christian,False,184.8,yellow
2025,baseball,2A/1A,First Round,Union,14,Portland Christian,19,,Union HS,False,228.4,yellow
2025,baseball,2A/1A,First Round,Heppner,15,Illinois Valley,18,,Heppner HS,False,300.5,red
2025,baseball,2A/1A,Quarterfinals,Umpqua Valley Christian,1,Irrigon,8,,Umpqua Valley Christian,False,264.8,red
2025,baseball,2A/1A,Quarterfinals,Knappa,4,Myrtle Point,5,,Knappa HS,False,216.9,yellow
2025,baseball,2A/1A,Quarterfinals,Reedsport,6,Portland Christian,19,,Reedsport HS,False,144.5,yellow
2025,baseball,2A/1A,Second Round,Umpqua Valley Christian,1,Lost River,16,,Umpqua Valley Christian,False,121.5,yellow
2025,baseball,2A/1A,Second Round,Irrigon,8,Culver,9,,Irrigon HS,False,126.3,yellow
2025,baseball,2A/1A,Second Round,Reedsport,6,Regis,11,,Reedsport HS,False,99.6,green
2025,baseball,2A/1A,Second Round,Kennedy,2,Heppner,15,,Kennedy HS,False,159.1,yellow
2025,baseball,2A/1A,Semifinals,Umpqua Valley Christian,1,Knappa,4,,Neutral Site,False,204.6,yellow
2025,baseball,3A,First Round,Yamhill-Carlton,16,Brookings-Harbor,17,,Yamhill-Carlton HS,False,233.8,yellow
2025,baseball,3A,First Round,McLoughlin,13,Banks,20,,McLoughlin HS,False,228.7,yellow
2025,baseball,3A,First Round,Lakeview,14,Glide,19,,Lakeview HS,False,159.5,yellow
2025,baseball,3A,First Round,Creswell,15,Joseph,18,,Creswell HS,False,301.7,red
2025,baseball,3A,Quarterfinals,Blanchet Catholic,1,Burns,8,,Blanchet Catholic,False,217.2,yellow
2025,baseball,3A,Quarterfinals,Warrenton,3,North Valley,6,,Warrenton HS,False,253.4,red
2025,baseball,3A,Second Round,Burns,8,Santiam Christian,9,,Burns HS,False,220.0,yellow
2025,baseball,3A,Second Round,Warrenton,3,Lakeview,14,,Warrenton HS,False,327.0,red
2025,baseball,3A,Second Round,North Valley,6,Vale,11,,North Valley HS,False,326.5,red
2025,baseball,3A,Second Round,South Umpqua,7,"Horizon Christian, Tualatin",10,,South Umpqua HS,False,168.7,yellow
2025,baseball,3A,Second Round,Cascade Christian,2,Creswell,15,,Cascade Christian HS,False,110.2,green
2025,baseball,4A,First Round,Henley,5,La Grande,12,,Henley HS,False,284.1,red
2025,baseball,4A,First Round,Pendleton,7,North Bend,10,,Pendleton HS,False,310.0,red
2025,baseball,4A,First Round,Junction City,2,The Dalles,15,,Junction City HS,False,137.4,yellow
2025,baseball,4A,Quarterfinals,Newport,4,Henley,5,,Newport HS,False,206.8,yellow
2025,baseball,4A,Quarterfinals,Junction City,2,Pendleton,7,,Junction City HS,False,238.1,yellow
2025,baseball,4A,Semifinals,Marist Catholic,1,Henley,5,,Marist Catholic Catholic,False,144.3,yellow
2025,baseball,4A,Semifinals,Scappoose,3,Pendleton,7,,Scappoose HS,False,197.3,yellow
2025,baseball,5A,First Round,Summit,5,Hood River Valley,12,,Summit HS,False,112.5,green
2025,baseball,5A,First Round,Ridgeview,4,Dallas,13,,Ridgeview HS,False,114.4,green
2025,baseball,5A,First Round,Crater,7,West Albany,10,,Crater HS,False,156.2,yellow
2025,baseball,5A,Quarterfinals,Summit,5,Dallas,13,,Summit HS,False,114.5,green
2025,baseball,6A,First Round,Sheldon,16,Barlow,17,,Sheldon HS,False,101.6,green
2025,baseball,6A,First Round,Roseburg,8,Tigard,25,,Roseburg HS,False,155.6,yellow
2025,baseball,6A,First Round,Sandy,12,North Medford,21,,Sandy HS,False,212.9,yellow
2025,baseball,6A,First Round,Grants Pass,14,Lakeridge,19,,Grants Pass HS,False,206.7,yellow
2025,baseball,6A,First Round,Ida B. Wells,15,South Medford,18,,Ida B. Wells HS,False,219.5,yellow
2025,baseball,6A,Quarterfinals,McMinnville,7,South Medford,18,,McMinnville HS,False,200.5,yellow
2025,baseball,6A,Second Round,Roseburg,8,Grant,9,,Roseburg HS,False,164.6,yellow
2025,baseball,6A,Second Round,Central Catholic,3,Grants Pass,14,,Central Catholic,False,216.5,yellow
2025,baseball,6A,Second Round,West Linn,2,South Medford,18,,West Linn HS,False,211.1,yellow
2025,softball,2A/1A,First Round,Elgin,16,Santiam,17,,Elgin HS,False,228.9,yellow
2025,softball,2A/1A,First Round,Union,13,Gervais,20,,Union HS,False,245.3,yellow
2025,softball,2A/1A,First Round,Powers,14,Kennedy,19,,Powers HS,False,164.1,yellow
2025,softball,2A/1A,First Round,Knappa,11,Lowell,22,,Knappa HS,False,161.4,yellow
2025,softball,2A/1A,First Round,Perrydale,15,Glendale,18,,Perrydale HS,False,154.6,yellow
2025,softball,2A/1A,Quarterfinals,Weston-McEwen,2,Lost River,7,,Weston-McEwen HS,False,304.1,red
2025,softball,2A/1A,Second Round,Grant Union,9,Toledo,8,,Grant Union HS,False,245.9,yellow
2025,softball,2A/1A,Second Round,Salem Academy,4,Union,13,,Salem Academy,False,252.9,red
2025,softball,2A/1A,Second Round,Clatskanie,3,Powers,14,,Clatskanie HS,False,227.0,yellow
2025,softball,2A/1A,Second Round,North Douglas,6,Knappa,11,,North Douglas HS,False,174.7,yellow
2025,softball,2A/1A,Second Round,Lost River,7,Illinois Valley,10,,Lost River HS,False,105.3,green
2025,softball,2A/1A,Second Round,Weston-McEwen,2,Perrydale,15,,Weston-McEwen HS,False,237.2,yellow
2025,softball,2A/1A,Semifinals,Grant Union,9,Salem Academy,4,,Neutral Site,False,203.8,yellow
2025,softball,2A/1A,Semifinals,Weston-McEwen,2,North Douglas,6,,Neutral Site,False,279.8,red
2025,softball,3A,First Round,North Valley,13,Rainier,20,,North Valley HS,False,247.8,yellow
2025,softball,3A,First Round,Harrisburg,14,Nyssa,19,,Harrisburg HS,False,307.8,red
2025,softball,3A,First Round,Brookings-Harbor,15,Santiam Christian,18,,Brookings-Harbor HS,False,188.5,yellow
2025,softball,3A,Quarterfinals,Yamhill-Carlton,3,Vale,6,,Yamhill-Carlton HS,False,307.0,red
2025,softball,3A,Second Round,Dayton,2,Brookings-Harbor,15,,Dayton HS,False,227.0,yellow
2025,softball,4A,First Round,St. Helens,1,Baker,16,,St. Helens HS,False,253.0,red
2025,softball,4A,First Round,Pendleton,5,Sweet Home,12,,Pendleton HS,False,211.9,yellow
2025,softball,4A,First Round,La Grande,2,Cottage Grove,15,,La Grande HS,False,266.5,red
2025,softball,4A,First Round,Astoria,3,The Dalles,14,,Astoria HS,False,134.0,yellow
2025,softball,4A,First Round,Henley,6,Stayton,11,,Henley HS,False,189.8,yellow
2025,softball,4A,First Round,Junction City,8,Hidden Valley,9,,Junction City HS,False,125.3,yellow
2025,softball,4A,Quarterfinals,St. Helens,1,Junction City,8,,St. Helens HS,False,115.3,green
2025,softball,4A,Quarterfinals,Pendleton,5,Marist Catholic,13,,Pendleton HS,False,238.8,yellow
2025,softball,4A,Quarterfinals,Astoria,3,Henley,6,,Astoria HS,False,296.8,red
2025,softball,4A,Quarterfinals,La Grande,2,Scappoose,10,,La Grande HS,False,233.6,yellow
2025,softball,4A,Semifinals,St. Helens,1,Pendleton,5,,St. Helens HS,False,194.1,yellow
2025,softball,4A,Semifinals,Astoria,3,La Grande,2,,Astoria HS,False,283.2,red
2025,softball,5A,First Round,Ridgeview,1,North Eugene,16,,Ridgeview HS,False,96.7,green
